age,d18o
34.25,-42.97
34.3,-42.97
34.3,-43.38
34.35,-43.38
34.35,-42.98
34.4,-42.98
34.4,-41.93
34.45,-41.93
34.45,-42.2
34.5,-42.2
34.5,-40.05
34.55,-40.05
34.55,-40.5
34.6,-40.5
34.6,-40.4
34.65,-40.4
34.65,-40.77
34.7,-40.77
34.7,-41.17
34.75,-41.17
34.75,-40.99
34.8,-40.99
34.8,-40.3
34.85,-40.3
34.85,-39.35
34.9,-39.35
34.9,-40.17
34.95,-40.17
34.95,-39.67
35,-39.67
35,-39.8
35.05,-39.8
35.05,-39.36
35.1,-39.36
35.1,-39.51
35.15,-39.51
35.15,-39.24
35.2,-39.24
35.2,-38.78
35.25,-38.78
35.25,-38.63
35.3,-38.63
35.3,-39.86
35.35,-39.86
35.35,-42.62
35.4,-42.62
35.4,-42.74
35.45,-42.74
35.45,-42.83
35.5,-42.83
35.5,-42.6
35.55,-42.6
35.55,-41.95
35.6,-41.95
35.6,-42.58
35.65,-42.58
35.65,-43.43
35.7,-43.43
35.7,-44.52
35.75,-44.52
35.75,-44.52
35.8,-44.52
35.8,-42.59
35.85,-42.59
35.85,-43.13
35.9,-43.13
35.9,-43.32
35.95,-43.32
35.95,-42.93
36,-42.93
36,-42.81
36.05,-42.81
36.05,-42.43
36.1,-42.43
36.1,-42.75
36.15,-42.75
36.15,-43.32
36.2,-43.32
36.2,-42.88
36.25,-42.88
36.25,-42
36.3,-42
36.3,-43.06
36.35,-43.06
36.35,-42.12
36.4,-42.12
36.4,-41.75
36.45,-41.75
36.45,-43.23
36.5,-43.23
36.5,-42.21
36.55,-42.21
36.55,-40.82
36.6,-40.82
36.6,-41.05
36.65,-41.05
36.65,-41.09
36.7,-41.09
36.7,-41.26
36.75,-41.26
36.75,-40.4
36.8,-40.4
36.8,-41.54
36.85,-41.54
36.85,-41.31
36.9,-41.31
36.9,-41.52
36.95,-41.52
36.95,-41.01
37,-41.01
37,-41.33
37.05,-41.33
37.05,-40.96
37.1,-40.96
37.1,-40.21
37.15,-40.21
37.15,-40.02
37.2,-40.02
37.2,-39.59
37.25,-39.59
37.25,-39.93
37.3,-39.93
37.3,-39.28
37.35,-39.28
37.35,-40.29
37.4,-40.29
37.4,-40.21
37.45,-40.21
37.45,-38.77
37.5,-38.77
37.5,-39.28
37.55,-39.28
37.55,-38.74
37.6,-38.74
37.6,-39.15
37.65,-39.15
37.65,-38.9
37.7,-38.9
37.7,-38.71
37.75,-38.71
37.75,-39.04
37.8,-39.04
37.8,-39.12
37.85,-39.12
37.85,-39.03
37.9,-39.03
37.9,-39.41
37.95,-39.41
37.95,-39.05
38,-39.05
38,-38.64
38.05,-38.64
38.05,-38.5
38.1,-38.5
38.1,-38.97
38.15,-38.97
38.15,-38.2
38.2,-38.2
38.2,-38.13
38.25,-38.13
38.25,-38.99
38.3,-38.99
38.3,-41.76
38.35,-41.76
38.35,-42.3
38.4,-42.3
38.4,-42.78
38.45,-42.78
38.45,-42.26
38.5,-42.26
38.5,-42.15
38.55,-42.15
38.55,-42.76
38.6,-42.76
38.6,-42.81
38.65,-42.81
38.65,-42.71
38.7,-42.71
38.7,-42.77
38.75,-42.77
38.75,-43.71
38.8,-43.71
38.8,-43.21
38.85,-43.21
38.85,-43.19
38.9,-43.19
38.9,-43.09
38.95,-43.09
38.95,-42.63
39,-42.63
39,-42.5
39.05,-42.5
39.05,-42.11
39.1,-42.11
39.1,-43.91
39.15,-43.91
39.15,-43.54
39.2,-43.54
39.2,-44.16
39.25,-44.16
39.25,-43.05
39.3,-43.05
